,CFOP,NCM,cEAN,cEANTrib,cProd,indTot,qCom,qTrib,uCom,uTrib,vProd,vUnCom,vUnTrib,xProd,comb,CEST,nItemPed,indEscala,EXTIPI,xPed,vDesc,cBenef,nFCI,med,vOutro,vFrete,rastro
26,5102,21069090,0,0,03,1,1.0000,1.0000,UN,UN,3.25,3.2500,3.2500,ADOCANTE 200ML,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5102,39181000,0,0,39181000,1,1.0000,1.0000,UN,UN,228.00,228.0000,228.0000,TAPETE DE VINIL 100CM X 80CM NA COR VINHO COM LETRAS BEGE. CFE MODELO EM ANEXO,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5102,39181000,0,0,39181000,1,1.0000,1.0000,UN,UN,364.00,364.0000,364.0000,TAPETE DE VINIL 160CM X 80CM NA COR VINHO COM LETRAS BEGE. CFE MODELO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5405,87083019,0,0,000003,1,1.0000,1.0000,JG,JG,390.00,390.0000,390.0000,PASTILHAS DE FREIO DIANTEIRA,0,0107500,0,0,0,0,0,0,0,0,0,0,0
30,5405,87089490,0,0,000006,1,1.0000,1.0000,UN,UN,120.00,120.0000,120.0000,FLUIDO DE FREIO(TROCA GERAL),0,0107500,0,0,0,0,0,0,0,0,0,0,0
31,5949,27101932,SEM GTIN,SEM GTIN,16648,1,6.00,6.00,lt,lt,77.76,12.96,12.96,Oleo Motor Diesel 15W40 3L,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5949,84212300,SEM GTIN,SEM GTIN,15254,1,1.00,1.00,pc,pc,25.53,25.53,25.53,Filtro Lubrificante para gerador de energia,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5949,84219999,SEM GTIN,SEM GTIN,15253,1,1.00,1.00,pc,pc,43.54,43.54,43.54,Filtro Diesel para gerador de energia,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5405,85044010,0,0,28391,1,1.0000,1.0000,PC,PC,59.90,59.9000000000,59.9000000000,CARREGADOR C/4 PILHAS AAA 1100MAH FX-C13 FLEX,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5405,85078000,0,0,29788,1,1.0000,1.0000,PC,PC,19.90,19.9000000000,19.9000000000,"PILHA RECARREGAVEL C/2 AAA 1,2V 1100MAH FLEX GOLD",0,0,0,0,0,0,0,0,0,0,0,0,0
36,5101,76061190,SEM GTIN,SEM GTIN,0100,1,1.0000,1.0000,UN,UN,60.00,60.0000000000,60.0000000000,PLACA DIANTEIRA 130X400MM AVERY CINZA,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5101,76061190,SEM GTIN,SEM GTIN,0200,1,1.0000,1.0000,UN,UN,60.00,60.0000000000,60.0000000000,PLACA TRASEIRA 130X400MM AVERY CINZA,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5102,85044090,0,0,08063000,1,1.0000,1.0000,PC,PC,173.91,173.91000000,173.91000000,PLACA CP 63/A C/ TRIAC,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5102,85043219,0,0,02232006,1,1.0000,1.0000,PC,PC,85.71,85.71000000,85.71000000,INDUTOR LE2-2K/B (110V),0,0,0,0,0,0,0,0,0,0,0,0,0
40,5102,85322200,0,0,00124219,1,1.0000,1.0000,PC,PC,98.18,98.18000000,98.18000000,C:CAN.AL.PP.60uF/250V B32360A2,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5102,85389090,0,0,00313005,1,1.0000,1.0000,PC,PC,2.00,2.00000000,2.00000000,CONECTOR MOLEX  8 PINOS FEMEA,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5949,84439933,734646481410,734646481410,80C8XK01LOC,1,10.0000,10.0000,UND,UND,2799.00,279.9000000000,279.9000000000,CARTUCHO DE TONER PARA IMPRESSORA LEXMARK CX510/410 PRETO/1LOC,0,2101800,0,S,0,0,0,0,0,0,0,0,0
43,5949,84439933,734646481434,734646481434,80C8XY01LOC,1,5.0000,5.0000,UND,UND,1300.80,260.1600000000,260.1600000000,CARTUCHO DE TONER PARA IMPRESSORA LEXMARK CX510/410 AMARELO/1LOC,0,2101800,0,S,0,0,0,0,0,0,0,0,0
44,5949,84439939,0,0,C540X75G1LOC,1,3.0000,3.0000,UND,UND,90.48,30.1600000000,30.1600000000,RECIPIENTE PARA RESIDUOS DE TONER C54X/X54X LEXMARK,0,2101800,0,S,0,0,0,0,0,0,0,0,0
45,5102,85423190,SEM GTIN,SEM GTIN,00004,1,1,1,UN,1,419.00,419.00,419.00,TECLADO NOTEBOOK LENOVO,0,2112600,0,S,0,0,0,0,0,0,0,0,0
46,5102,85423190,SEM GTIN,SEM GTIN,00004,1,1,1,UN,1,289.00,289.00,289.00,COMPONENTES ELETRÃNICOS,0,2112600,0,S,0,0,0,0,0,0,0,0,0
47,5405,32091010,SEM GTIN,SEM GTIN,SC0000169587,1,1.0000,1.0000,LT,LT,393.35,393.3500000000,393.3500000000,ACR SBR SUV TVT ALGODAO EGIPCIO F100 A2 16L,0,2400100,0,S,0,0,0,0,0,0,0,0,0
48,5102,27101230,37891260179766,37891260179766,5357,1,1.0000,1.0000,GL,GL,79.80,79.8000000000,79.8000000000,"AGUARRAS 5,0L SUVINIL 51577466",0,0600200,0,S,0,0,0,0,0,0,0,0,0
49,5405,32081010,SEM GTIN,SEM GTIN,SC0000055369,1,3.0000,3.0000,GL,GL,233.85,77.9500000000,77.9500000000,"ESM SIN BRI SUV TVT ALGODAO EGIPCIO F100 A2 3,2L",0,2400100,0,S,0,0,0,0,0,0,0,0,0
50,5102,85365090,0,0,001,1,65.0000,65.0000,UN,UN,2327.00,35.8000,35.8000,SENSOR PRESENÃA TETO SOB/EMB EXATRON,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5102,85365090,0,0,002,1,20.0000,20.0000,UN,UN,679.40,33.9700,33.9700,SENSOR PRESENÃA PAREDE EXATRON,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5102,39259090,0,0,003,1,45.0000,45.0000,UN,UN,193.50,4.3000,4.3000,LIZ ESPELHO CEGO 4X2,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6933,00,SEM GTIN,SEM GTIN,20286,0,6223.0000,6223.0000,Serv,Serv,2115.82,0.3400,0.3400,INFOCONV - Entes Publicos - faixa 2 - de 2.000 a 49.999 consulta CPF- CNPJ-CND,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6933,00,SEM GTIN,SEM GTIN,20265,0,1.0000,1.0000,Serv,Serv,576.84,576.8400,576.8400,INFOCONV - Entes Publicos - faixa 1 - 1.999 consultas CPF-CNPJ-CND,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5102,96035000,7890000021302,7890000021302,2130,1,1.0000,1.0000,PC,PC,26.00,26.0000,26.0000,ESCOVA ACO ROTATIVA ONDULADA 6 X 3/4,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5405,68042219,7890000057011,7890000057011,5701,1,1.0000,1.0000,PC,PC,44.00,44.0000,44.0000,REBOLO USO GERAL 6 X 3/4 X 1.1/4 G60 NORTON,0,0800300,0,0,0,0,0,0,0,0,0,0,0
57,5102,44219000,0,0,5181,1,12.0000,12.0000,PC,PC,3480.00,290.0000000000,290.0000000000,MASTRO REVESTIDO NAS CORES DA BANDEIRA (LUXO) PARA BANDEIRAS DO TCE/RS,0,0,0,0,00,0,0,0,0,0,0,0,0
58,5102,44219000,0,0,5165,1,2.0000,2.0000,UN,UN,580.08,290.0400000000,290.0400000000,MASTRO REVESTIDO NAS CORES DA BANDEIRA (LUXO) PARA BANDEIRA DO BRASIL,0,0,0,0,00,0,0,0,0,0,0,0,0
59,5102,73069090,0,0,5283,1,2.0000,2.0000,PC,PC,580.00,290.0000000000,290.0000000000,MASTRO REVESTIDO NAS CORES DA BANDEIRA (LUXO) PARA BANDEIRA DO RIO GRANDE DO SUL,0,0,0,0,00,0,0,0,0,0,0,0,0
60,5102,44219000,0,0,5064,1,8.0000,8.0000,PC,PC,1080.00,135.0000000000,135.0000000000,MASTRO SEM REVESTIMENTO PARA AS BANDEIRAS DO TRIBUNAL DE CONTAS/RS,0,0,0,0,00,0,0,0,0,0,0,0,0
61,5102,44219000,0,0,5068,1,24.0000,24.0000,PC,PC,3600.00,150.0000000000,150.0000000000,"BASE ""PEDESTAIA""",0,0,0,0,00,0,0,0,0,0,0,0,0
62,5102,63072000,0,0,5281,1,24.0000,24.0000,PC,PC,2179.92,90.8300000000,90.8300000000,PONTEIRA METALICAS PRATEADAS,0,0,0,0,00,0,0,0,0,0,0,0,0
63,1411,39174090,7891960121620,7891960121620,003449,1,3.0000,3.0000,PC,PC,2.25,0.75000000,0.75000000,LUVA SOLDAVEL CL15 25MM,0,1000600,0,0,0,0,0,0,0,0,0,0,0
64,1202,35061090,7891960180054,7891960180054,004044,1,2.0000,2.0000,PC,PC,33.80,16.90000000,16.90000000,COLA ADESIVO PVC 175G,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6949,85043219,7898172116826,7898172116826,2U20098M1-TF,1,1.0000,1.0000,UN,UN,200.95,200.9500000000,200.9500000000,AUTO TRAFO UPSAI 1.5KVA E220VS110V TRAVAPROT,0,1200100,0,0,0,0,0,0,0,0,0,0,0
66,6949,84439970,191628390823,191628390823,SL-SCF3800-SI,1,1.0000,1.0000,UN,UN,488.12,488.1200000000,488.1200000000,SLSCF3805XAZ GAVETA ADICIONAL 520 FOLHAS,0,2101800,0,0,0,0,0,0,0,0,0,0,0
67,6949,84433233,192018143180,192018143180,SLM4020NAC_SED,1,1.0000,1.0000,UN,UN,804.51,804.5100000000,804.5100000000,SLM4020NDXAB PRINTER LASER PB 40PPM A4,0,2101700,0,0,0,0,0,0,0,0,0,0,0
68,1949,84159010,SEM GTIN,SEM GTIN,00000407,1,1.0000,1.0000,PC,PC,900.00,900.0000000000,900.0000000000,EVAPORADORA 12.000BTUS ECO INVERTER,0,2109600,0,0,0,0,0,0,0,0,0,0,0
69,1949,84159010,SEM GTIN,SEM GTIN,00000249,1,1.0000,1.0000,PC,PC,2100.00,2100.0000000000,2100.0000000000,CONDENSADORA 12.000BTUS ECO INVERTER,0,2109600,0,0,0,0,0,0,0,0,0,0,0
70,6101,49011000,SEM GTIN,SEM GTIN,NNE,1,1.0000,1.0000,UN,UN,34.00,34.00,34.00,Norma Nacional Eletronica ABNT NBR 14724:2011 (Digital),0,0,1,0,0,688672,0,0,0,0,0,0,0
71,6101,49011000,SEM GTIN,SEM GTIN,NNE,1,1.0000,1.0000,UN,UN,170.10,170.10,170.10,Norma Nacional Eletronica ABNT NBR 13962:2018 Versao Corrigida:2018 (Digital),0,0,2,0,0,688672,0,0,0,0,0,0,0
72,6101,49011000,SEM GTIN,SEM GTIN,NNE,1,1.0000,1.0000,UN,UN,21.00,21.00,21.00,Norma Nacional Eletronica ABNT NBR 8537:2015 (Digital),0,0,3,0,0,688672,0,0,0,0,0,0,0
73,6101,49011000,SEM GTIN,SEM GTIN,NNE,1,1.0000,1.0000,UN,UN,31.50,31.50,31.50,Norma Nacional Eletronica ABNT NBR 9178:2015 (Digital),0,0,4,0,0,688672,0,0,0,0,0,0,0
74,6923,84715010,SEM GTIN,SEM GTIN,210-ANSR-8W6L,1,3.0000,3.0000,UN,UN,40109.14,13369.712500,13369.712500,Estacao de Trabalho Dell Precision T5820,0,2103000,0,0,0,001999,0,0,0,0,0,0,0
75,6923,84716053,7899864908842,7899864908842,275-BBBW,1,3.0000,3.0000,UN,UN,58.69,19.562500,19.562500,"Mouse (Indicador) Optico Dell MS116, Conexao USB, Preto, Com Fio, EAN Code 7899864908842",0,2103100,0,0,0,001999,0,0,0,0,0,0,0
76,6923,84716052,7899864908835,7899864908835,580-ADRO,1,3.0000,3.0000,UN,UN,78.22,26.073000,26.073000,"Teclado Alfanumerico de 107 Teclas, Padrao PTBR, Aplicacao em Maquina de Processamento de Dados, KB216, EAN Code 789986",0,2103100,0,0,0,001999,0,0,0,0,0,0,0
77,6923,85285220,5397184092354,5397184092354,210-AQJI,1,3.0000,3.0000,UN,UN,1252.48,417.492000,417.492000,"Monitor Dell de 22"" P2219H EAN Code 5397184092354",0,2106800,0,0,0,001999,0,0,0,0,0,0,0
78,5405,27101932,0,0,00000001,1,4.4000,4.4000,LT,LT,167.20,38.0000000000,38.0000000000,LUB ELF 10 W 40 EVOL 700 SEMIS SN,0,0600700,0,0,0,0,0,0,0,0,0,0,0
79,5405,84212300,0,0,00000123,1,1.0000,1.0000,PC,PC,34.00,34.0000000000,34.0000000000,PH6607-FRAM-FILT OLEO REN CLIO,0,0103700,0,0,0,0,0,0,0,0,0,0,0
80,5405,84213990,0,0,00000384,1,1.0000,1.0000,PC,PC,50.00,50.0000000000,50.0000000000,MP377 MICR FILTRO CABINE REN,0,0109500,0,0,0,0,0,0,0,0,0,0,0
81,5405,84818011,7894066104672,7894066104672,20751,1,1.0000,1.0000,PC,PC,155.00,155.0000000000,155.0000000000,TORN LAVATORIO BALCAO 1193 C 40 MEBER,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5102,40092210,7896785900054,7896785900054,12134,1,1.0000,1.0000,PC,PC,15.00,15.0000000000,15.0000000000,LIGACAO FLEXIVEL 643 40CM WOG,0,1007700,0,0,0,0,0,0,0,0,0,0,0
83,5102,39204900,0,0,1,1,3.0000,3.0000,METROS,METROS,150.00,50.0000,50.0000,FITAS ACABAMENTOS CHAPA REDUTOR CHAMPAGNE,0,0,0,0,0,0,0,0,0,0,0,0,0
84,5102,39204900,0,0,2,1,2.0000,2.0000,METROS,METROS,78.00,39.0000,39.0000,FITA ACABAMENTO CHAPA STANDART DOURADO,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5102,85423190,SEM GTIN,SEM GTIN,00004,1,1,1,UN,1,439.00,439.00,439.00,TECLADO NOTEBOOK LENOVO,0,2112600,0,S,0,0,0,0,0,0,0,0,0
86,5102,85423190,SEM GTIN,SEM GTIN,00003,1,1,1,UN,1,509.00,509.00,509.00,TELA NOTEBOOK LENOVO,0,2112600,0,S,0,0,0,0,0,0,0,0,0
87,5405,39174090,7891222019153,7891222019153,002693,1,1.0000,1.0000,UN,UN,4.90,4.90000000,4.90000000,VALVULA PIA  LAV. S/ LADRAO 1POL BRANCA VL3/S [ASTRA],0,1000600,0,0,0,0,0,0,0,0,0,0,0
88,5102,40069000,7897210483005,7897210483005,004254,1,3.0000,3.0000,UN,UN,29.70,9.90000000,9.90000000,ANEL DE CERA VEDACAO WC C/ GUIA [BLUKIT],0,0,0,0,0,0,0,0,0,0,0,0,0
89,5405,73181500,SEM GTIN,SEM GTIN,011577,1,2.0000,2.0000,UN,UN,19.00,9.50000000,9.50000000,PARAFUSO FIXACAO WC 10X100MM KIT C/02 [G],0,1005800,0,0,0,0,0,0,0,0,0,0,0
90,5405,39174090,7898550251149,7898550251149,000134,1,3.0000,3.0000,UN,UN,22.50,7.50000000,7.50000000,SIFAO EXTENSIVO SIMPLES [BLUKIT],0,1000600,0,0,0,0,0,0,0,0,0,0,0
91,5405,48181000,0,0,0354,1,32.0000,32.0000,rl,rl,153.60,4.8000,4.8000,PAPEL HIG. FOFINHOCLARA FOLHA DUPLA 04RLS X 30M,0,2004100,0,0,0,0,0,0,0,0,0,0,0
92,5405,48182000,0,0,2504,1,6.0000,6.0000,rl,rl,175.80,29.3000,29.3000,TOALHA PAPEL INT. 2D 22X20 PREMIUM C2000 FLS.,0,2004300,0,0,0,0,0,0,0,0,0,0,0
93,5405,83014000,SEM GTIN,SEM GTIN,2901008,1,2.0000,2.0000,UN,KG,132.41,66.2050000000,66.2050000000,FECH TUBULAR CROMADA,0,0,0,0,0,0,0,0,0,0,0,0,0
94,5405,83014000,SEM GTIN,SEM GTIN,3802032,1,1.0000,1.0000,PC,KG,43.61,43.6100000000,43.6100000000,FECH  601-602/33 ESP INOX (G),0,0,0,0,0,0,0,0,0,0,0,0,0
95,5929,39259090,7899838806495,7899838806495,101624,1,5.0000,5.0000,UN,UN,89.90,17.9800,17.9800,PROTETOR QUINA REDONDO C/04UN MULTIKIDS,0,0,0,0,0,0,0,0,0,0,0,0,0
96,5929,32131000,SEM GTIN,SEM GTIN,108218,1,3.0000,3.0000,UN,UN,29.40,9.8000,9.8000,TINTA GUACHE 018 ML 06 CORES  ACRILEX SHOW COLOR,0,1900100,0,0,0,0,0,0,0,0,0,0,0
97,5929,96082000,SEM GTIN,SEM GTIN,59164,1,2.0000,2.0000,UN,UN,12.60,6.3000,6.3000,MARCADOR QUADRO BRANCO BIC ROXO,0,1902800,0,0,0,0,0,0,0,0,0,0,0
98,5929,96082000,SEM GTIN,SEM GTIN,84536,1,2.0000,2.0000,UN,UN,12.60,6.3000,6.3000,MARCADOR QUADRO BRANCO BIC VERDE.,0,1902800,0,0,0,0,0,0,0,0,0,0,0
99,5929,96082000,SEM GTIN,SEM GTIN,15937,1,2.0000,2.0000,UN,UN,12.60,6.3000,6.3000,MARCADOR QUADRO BRANCO BIC ROSA,0,1902800,0,0,0,0,0,0,0,0,0,0,0
100,5102,90183219,0,0,6163,1,1.0000,1.0000,CX,CX,15.00,15.0000000000,15.0000000000,"AGULHA DESCARTAVEL 13MM X 4,5MM CX C/100 UNIDADES",0,0,0,0,0,0,0,0,0,0,0,0,0
101,5102,90183219,0,0,3122,1,1.0000,1.0000,CX,CX,15.00,15.0000000000,15.0000000000,"AGULHA DESCARTAVEL 25MM X 0,7MM CX C/100 UNIDADES",0,0,0,0,0,0,0,0,0,0,0,0,0
102,5102,90183219,0,0,6164,1,2.0000,2.0000,CX,CX,30.00,15.0000000000,15.0000000000,"AGULHA DESCARTAVEL 25MM X 0,8MM CX C/100 UNIDADES",0,0,0,0,0,0,0,0,0,0,0,0,0
103,5102,30039099,0,0,3745,1,3.0000,3.0000,UN,UN,60.00,20.0000000000,20.0000000000,ALGODAO HIDROFILO 500G,0,0,0,0,0,0,0,0,0,0,0,0,0
104,5102,40151100,0,0,3118,1,10.0000,10.0000,UN,UN,70.00,7.0000000000,7.0000000000,COLETOR MATERIAL PERFUROCORTANTE CAP 7LTS,0,1301000,0,0,0,0,0,0,0,0,0,0,0
105,5102,40151100,0,0,7633,1,20.0000,20.0000,UN,UN,828.00,41.4000000000,41.4000000000,"SACO DE RESIDUO INFECTANTE SUPERIOR E RESISTENTE 30L SACO C/100 UNIDADES, DESCARPAK",0,1301000,0,0,0,0,0,0,0,0,0,0,0
106,5102,90183211,0,0,8656,1,2.0000,2.0000,CX,CX,80.00,40.0000000000,40.0000000000,AGULHA GENGIVAL DESCARTAVEL CURTA C/100 UNIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0
107,5102,30059019,0,0,9899,1,30.0000,30.0000,UN,UN,90.00,3.0000000000,3.0000000000,ALGODAO ROLETE C/100 UNIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0
108,5102,48115929,0,0,6743,1,50.0000,50.0000,UN,UN,850.00,17.0000000000,17.0000000000,BABADOR DESCARTAVEL C/100 UNIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5102,90184999,0,0,3541,1,3.0000,3.0000,UN,UN,81.00,27.0000000000,27.0000000000,CUNHA REFLEXIVA C/20 UNIDADES,0,2803600,0,0,0,0,0,0,0,0,0,0,0
110,5102,96032100,0,0,2011,1,10.0000,10.0000,UN,UN,100.00,10.0000000000,10.0000000000,ESCOVA INTERDENTAL EXTRA-FINA C/10,0,2005700,0,0,0,0,0,0,0,0,0,0,0
111,5102,96032100,0,0,2012,1,10.0000,10.0000,UN,UN,100.00,10.0000000000,10.0000000000,ESCOVA INTERDENTAL FINA C/10,0,2005700,0,0,0,0,0,0,0,0,0,0,0
112,5102,96032100,0,0,2010,1,10.0000,10.0000,UN,UN,100.00,10.0000000000,10.0000000000,"ESCOVA INTERDENTAL MEDIA C/10, BOCK",0,2005700,0,0,0,0,0,0,0,0,0,0,0
113,5102,39072090,0,0,5815,1,10.0000,10.0000,UN,UN,30.00,3.0000000000,3.0000000000,TIRA TRANSPARENTE DE POLIESTER,0,0,0,0,0,0,0,0,0,0,0,0,0
114,5102,48183000,0,0,672,1,96.0000,96.0000,UN,UN,576.00,6.0000000000,6.0000000000,GUARDANAPO DE PAPEL C/50 UNIDADES,0,2004500,0,0,0,0,0,0,0,0,0,0,0
115,5102,40151900,0,0,5574,1,50.0000,50.0000,CX,CX,1164.00,23.2800000000,23.2800000000,LUVA DESCARTAVEL EXTRA PEQUENA CX C/100 UNIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0
116,5102,40151900,7898945443036,0,748,1,150.0000,150.0000,CX,CX,3000.00,20.0000000000,20.0000000000,LUVA DESCARTAVEL MRDIA CX C/100 UNIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0
117,5102,40151900,0,0,750,1,100.0000,100.0000,CX,CX,2000.00,20.0000000000,20.0000000000,LUVA DESCARTAVEL PEQUENA CX C/100 UNIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0
118,5929,32141020,0,0,2620001,1,1.0000,1.0000,Un,Un,19.90,19.9000000000,19.9000000000,MET MASSA CORRIDA,0,0,0,0,0,0,1.48,0,0,0,0,0,0
119,5929,32091010,0,0,38423106,1,1.0000,1.0000,Un,Un,219.90,219.9000000000,219.9000000000,NOVACOR ACR+R FC BRANCO,0,0,0,0,0,0,16.38,0,0,0,0,0,0
120,5929,32091010,0,0,38593106,1,1.0000,1.0000,Un,Un,189.90,189.9000000000,189.9000000000,NC COBRE MAIS BRANCO LT,0,0,0,0,0,0,14.14,0,0,0,0,0,0
121,5405,84818021,0,0,C149270,1,1.0000,1.0000,PC,PC,286.35,286.3500000000,286.3500000000,TIXA8R/AAE8R-VALVULA EXPANSAO 1/2 X 5/8 ROSCA EQUAL EXTERNA R22/R407C AR CONDICIONADO,0,1007900,0,0,0,0,0,0,0,0,0,0,0
